vo_adv_1027009_000.m4a|…………
vo_adv_1027009_001.m4a|{player}、様……？
vo_adv_1027009_002.m4a|……クス。クスクスクス……
vo_adv_1027009_003.m4a|見つけましたわ……{player}様……♪
vo_adv_1027009_004.m4a|お気づきになりましたか？クスクスクスクス……♪
vo_adv_1027009_005.m4a|ここはどこだというお顔ですね……ご安心を。ランドソルのはずれにある空き家ですわ……
vo_adv_1027009_006.m4a|え？　身動きが、とれない……？そうでしょうね。手も足も、縛り上げていますから。
vo_adv_1027009_007.m4a|そのような細かいことをお気になさらないでください……あなた様は今日からここで暮らすのですから……私と二人っきりで。
vo_adv_1027009_008.m4a|運命で結ばれた者同士……これからは春夏秋冬！　四六時中！　未来永劫！お互いだけを見て生きていくのです……！
vo_adv_1027009_009.m4a|それならば身動きがとれない程度……大したことではないのです……
vo_adv_1027009_010.m4a|え……？クスクス……そんなことはございません……私はエリコ……あなた様のエリコです……
vo_adv_1027009_011.m4a|そしてあなた様は……私の……そう……私の{player}様……♪
vo_adv_1027009_012.m4a|さあ……よく見て確かめてください……目を、顔を、体を……
vo_adv_1027009_013.m4a|私の、全てを……！！
vo_adv_1027009_015.m4a|っ！　その声は……
vo_adv_1027009_017.m4a|残念です……見つかってしまいましたわね……足はつかないと思ったのですが……
vo_adv_1027009_019.m4a|ぐっ……！？
vo_adv_1027009_021.m4a|ようやく本来の姿に戻りましたわね。ではそのまま……このおかたに触れた罰を受けなさい！
vo_adv_1027009_025.m4a|逃げられましたか……本当にすばしっこくて目障りですわね……
vo_adv_1027009_026.m4a|あぁ、それよりも……！お怪我はございませんか、{player}様……！
vo_adv_1027009_027.m4a|さあ、縄を解きましたわ……あなた様にこんな狼藉を働くとは……！やはり、野放しにはできませんわね……
vo_adv_1027009_028.m4a|それは……少々複雑な問題が起きまして。もちろんご説明しますが……まずはここから離れましょう。
vo_adv_1027009_029.m4a|さあ、ここならば安全ですわ。あなた様も、ゆっくり体を休められますし……
vo_adv_1027009_030.m4a|それで……先程の魔物について、でしたわね。ご説明いたします。
vo_adv_1027009_031.m4a|あなた様は、少し前に森で出会った『人に化ける化け物』を覚えていらっしゃいますか？
vo_adv_1027009_032.m4a|私の姿に化けてあなた様を惑わした、あのいかがわしい魔物です。
vo_adv_1027009_033.m4a|実はあの魔物を倒した後。私は密かにその残骸を回収し、錬金術の新薬開発に利用していました。
vo_adv_1027009_034.m4a|『どこまで実際の人物に似せた被造物を造れるか』──その錬金術の、限界に挑むために。
vo_adv_1027009_035.m4a|そう……！その薬さえできれば、どんな人間でも造れるのです……！あなた様そっくりの子供を造るのも思うがまま……！！
vo_adv_1027009_036.m4a|この薬の完成こそ、私たちの愛が形になる瞬間なのですわ！！
vo_adv_1027009_037.m4a|クスクスクス……クスクスクスクス……クスクスクスクスクスクスクス……♪
vo_adv_1027009_038.m4a|はっ……申し訳ございません。私としたことが、つい本音が漏れてしまいました。今の話は忘れてください。
vo_adv_1027009_039.m4a|話題を戻しますわ……実はその薬の試作品が、先日とうとう完成したのです。
vo_adv_1027009_040.m4a|手近なところで、まずは私自身を複製してみました。実験は成功し、私そっくりの魔物が誕生したのですが……
vo_adv_1027009_041.m4a|どうやら想像以上に複製の精度が高かったようです。魔物は『壊し屋』の力を振るって檻を粉砕し、逃げてしまったのですわ。
vo_adv_1027009_042.m4a|今日まで必死に捜していたのですが……まさかあなた様を拉致監禁するなどという凶行に及ぶとは。
vo_adv_1027009_043.m4a|魔物の分際であなた様を縛り上げ、いやらしい目で見るなんて……！許さない……！　許さない……！　許さない……！
vo_adv_1027009_044.m4a|あんな化け物を造ってしまったのは、紛れもない私です。あなた様を危機に追いやった責任の一端は私にもあるのです。必ずや処分してみせますわ……！
vo_adv_1027009_045.m4a|私の心配をしてくださるのですか？　なんてお優しい……！
vo_adv_1027009_046.m4a|それに、共に行動するというのは名案です！あの魔物は、またあなた様に会いに来るとか言っていましたもの。ならば近くにいたほうが、用心棒も兼任できるというものです。
vo_adv_1027009_047.m4a|お言葉に甘えさせていただきますわ。お手を煩わせてしまい申し訳ありませんが、このたびはよろしくお願いします。
vo_adv_1027009_048.m4a|まずは、あなた様の安全確保が最重要課題ですわね。最適な場所へご案内いたします。どうぞこちらへ……
vo_adv_1027009_049.m4a|あぁっ……！　いいです……！ここなら安全ですわね、{player}様……！
vo_adv_1027009_050.m4a|牢屋にも鍵をかけておきますわ！二重……いえ、三重に！！　クスクスクスクス……♪
vo_adv_1027009_051.m4a|当然、あなた様を守るためですわ！
vo_adv_1027009_052.m4a|ここは私のラボの一つです。奴には知られておりませんし、万が一、突き止められたとしても、この牢屋の中なら安全です。
vo_adv_1027009_053.m4a|私が魔物を倒すまで、あなた様には指一本触れさせません！そのために、しばしの不自由をお許しください。
vo_adv_1027009_054.m4a|牢屋暮らしとはいえ、窮屈な思いは決してさせません。必要なものがあればなんなりとおっしゃってください。パンでも牛乳でも、５分以内に買って戻ります。
vo_adv_1027009_055.m4a|ですから、奴を倒すまではどうかご辛抱を。その間……私が安全で快適な、保護生活をお約束しますわ！
vo_adv_1027009_056.m4a|おはようございます、あなた様。朝食を用意いたしました。今日はフルコースです。冷めないうちに召し上がってください。
vo_adv_1027009_057.m4a|え？　朝から豪華すぎる？あなた様が食べるにふさわしいものを作ったまでです。
vo_adv_1027009_058.m4a|何か入っているのではないか……？　そんなことはことはありません。もし入っていたとしても……無色透明、無味無臭。すぐにお気に召していただけるものでしょう。ええ。
vo_adv_1027009_059.m4a|というわけで……あーん♪
vo_adv_1027009_060.m4a|あなた様。お着替えを用意しましたわ。私と同じ色の、赤い服……
vo_adv_1027009_061.m4a|まるでペアルックのようですわね……♪これを着たら、あなた様と一心同体に……♪クスクス……クスクス……♪
vo_adv_1027009_062.m4a|さあ着替えましょう……！すぐ着替えましょう！私もお手伝いいたします！　お脱ぎください！　今すぐに！！
vo_adv_1027009_063.m4a|あなた様！　髪が伸びてきたようですね？そんなに伸びていない？　いえ、間違いなく伸びていますわ。
vo_adv_1027009_064.m4a|よろしければ、私がお切りします……！なにせ、快適な保護生活をお約束した身分ですから！
vo_adv_1027009_065.m4a|ああぁあああぁ……！！　髪の毛とはいえ、仮にもあなた様の体の一部にハサミを入れるなんて……！！なんと背徳的な……！！　ぞくぞくしてしまいますわ……！！
vo_adv_1027009_066.m4a|あなた様、あなた様、あなた様……！！さあ、今日は何をいたしましょうか！？
vo_adv_1027009_067.m4a|昨日は一日でセーターを編んでしまいましたし、一昨日は一日中しりとりのお相手をいたしましたし、ああぁ……！何をして差し上げれば快適にお暮らしいただけるのでしょう！？
vo_adv_1027009_068.m4a|このままずっと幸せにいたします……！ずっと、ずっと……！！クスクスクス……クスクスクスクス♪
vo_adv_1027009_069.m4a|ハッ……！？
vo_adv_1027009_070.m4a|……そ、そうでしたわね。申し訳ございません。あなた様を独占できる夢のような日々を前にしてつい、本来の目的を見失ってしまいました……！
vo_adv_1027009_071.m4a|改めて……私が責任を持って、魔物を討伐いたします！
vo_adv_1027009_072.m4a|必ずや成し遂げて、あなた様の平穏な日々を取り戻してみせますわ！
vo_adv_1027009_073.m4a|………………
vo_adv_1027009_074.m4a|ただ……今日、一日くらいは……
vo_adv_1027009_075.m4a|ハッ！　いけません！私としたことが……あなた様との約束を破るなど！
vo_adv_1027009_076.m4a|………………
vo_adv_1027009_077.m4a|ただ、やはり……朝食くらいは、あなた様とフルコースを……
vo_adv_1027010_000.m4a|ふう……だいぶ歩いてきましたね。かなりお疲れのようですが、大丈夫ですか？牢屋での保護生活のおかげで、運動不足でしたものね……
vo_adv_1027010_001.m4a|そろそろ着きますので、もう一息頑張りましょう。あの草むらあたりに入り口があるのです。足元に注意してお進みください。
vo_adv_1027010_002.m4a|さあ、お入りください。荷物はそちらへどうぞ。ごゆっくりおくつろぎを……
