vo_adv_1050009_000.m4a|…………
vo_adv_1050009_001.m4a|……あっ！
vo_adv_1050009_002.m4a|べ、別に！大人のレディにも色々あるのよ。いいから放っておいて！
vo_adv_1050009_003.m4a|……って、ほんとにいなくなるつもり！？レディが落ち込んでるのよ！ここは優しく寄り添うのが紳士の対応でしょ！
vo_adv_1050009_004.m4a|……え？　冗談！？つまり、大人の駆け引きだったってわけ！？ズ、ズルイ！　大人ってやっぱりズルイ！！
vo_adv_1050009_005.m4a|紳士ならもっとスマートなやり方でレディの気を引きなさいよ！なんかあるでしょ！？
vo_adv_1050009_006.m4a|…………悪い？
vo_adv_1050009_007.m4a|アタシだっていつも友達と一緒ってわけじゃないし。そもそも、みんながアタシにくっついてきてるだけだし。
vo_adv_1050009_008.m4a|さっきまでだって……アタシの話、すごく楽しそうに聞いてたし。あんなことがなければ今だって……でも、それはもういいの！
vo_adv_1050009_009.m4a|とにかく、アタシは自立した大人のレディとして、自分から一人になったの！
vo_adv_1050009_010.m4a|…………文句、あるわけ？
vo_adv_1050009_011.m4a|アタシと……？つまり、デートのお誘いってわけ……？
vo_adv_1050009_012.m4a|ま、まぁ？今日は偶然、予定が空いてるし、たまにはいいわよ！オシャレなところへ連れてってよね♪
vo_adv_1050009_013.m4a|えへへ♪　このお店、来てみたかったのよ！内装からしてオシャレね！　これぞレディのお茶会だわ！ええと……ケーキはどれがおススメなのかしら……
vo_adv_1050009_014.m4a|え？　そうなの？事前に調べてくるなんて、アンタにしては上出来ね♪
vo_adv_1050009_015.m4a|うーん。それじゃこの、肌に良さそうな葉っぱが入った……でもまた苦かったらどうしよう……え？　その時は一緒に食べよう？　ふ、ふーん。
vo_adv_1050009_016.m4a|いいわ。それじゃこれにする♪
vo_adv_1050009_017.m4a|う～ん。このイヤリングもかわいいけど、こっちも捨てがたいわね……ねぇ……アンタはどっちがいいと思う？
vo_adv_1050009_018.m4a|へぇ～アンタもオシャレのイロハぐらいは分かるのね！ちょっと見直しちゃったわ！　ちょっとだけね！
vo_adv_1050009_019.m4a|うそっ！？　アンタがそれ知ってるなんて……！そうなのよ！　大人のレディなら流行に乗らないと！
vo_adv_1050009_020.m4a|決めたわ！これにする♪
vo_adv_1050009_021.m4a|ねぇ、どうしてそんな知ってるのよ？……え？アタシに言われてから、色々リサーチするようになったの？
vo_adv_1050009_022.m4a|ふ、ふーん。いい心がけじゃない。やっぱり大人のレディと付き合うなら、会話もエスコートしないとね！
